food_item,category,calories_kcal,protein_,carbohydrates_,fat_,fiber_,sugars_,sodium_(mg),cholesterol_(mg),meal_type,water_intake_(ml),impact_tags,image,timestamp,quantity,calculated_tags
Sesame Oil (1 tsp),Condiment,40.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Fish Sauce (1 tsp),Condiment,5.0,0.4,0.5,0.0,0.0,0.4,450.0,0.0,Dinner,0.0,"['lowCarb', 'highProtein', 'lowFibre', 'lowProtein']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Green Onion (1 tbsp garnish),Vegetable,3.0,0.2,0.7,0.0,0.2,0.2,0.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Kombucha (16 oz),Beverage,60.0,0.0,14.0,0.0,0.0,12.0,20.0,0.0,Snack,473.0,"['sugary', 'lowProtein', 'wholeFood', 'lowFibre']",,,,"['sugary', 'lowProtein', 'lowFibre']"
Beef Wellington (1 slice),Meal/Meat,600.0,30.0,35.0,38.0,4.0,4.0,850.0,100.0,Dinner,0.0,"['highProtein', 'highCarb', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'energyBoost', 'gutFriendly', 'highCarb']"
Pate (Mushroom 2 tbsp),Condiment,70.0,1.0,2.0,7.0,1.0,1.0,100.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Puff Pastry (1 oz wrapper),Grain,115.0,1.5,9.0,8.0,0.5,0.0,100.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Prosciutto (1 slice),Protein/Meat,35.0,4.0,0.0,2.5,0.0,0.0,280.0,10.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Asparagus (6 spears roasted),Vegetable,40.0,4.0,4.0,2.0,3.0,2.0,150.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowCarb']",,,,"['lowProtein', 'lowCarb']"
Hollandaise Sauce (1 tbsp),Condiment,55.0,0.5,0.2,6.0,0.0,0.1,75.0,25.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Flan (1 slice),Dessert,220.0,6.0,35.0,7.0,0.0,33.0,80.0,90.0,Snack,0.0,"['highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['sugary', 'energyBoost', 'highCarb', 'lowFibre']"
Caramel Sauce (1 tbsp),Condiment,60.0,0.0,13.0,1.0,0.0,12.0,30.0,5.0,Snack,0.0,"['sugary', 'lowProtein', 'wholeFood', 'lowFibre']",,,,"['sugary', 'lowProtein', 'lowFibre']"
Congee (1 cup plain),Meal/Grain,130.0,2.5,28.0,1.0,1.0,0.5,300.0,0.0,Breakfast,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'energyBoost', 'highCarb', 'lowFibre']"
Pickled Radish (1/4 cup),Vegetable,15.0,0.5,3.0,0.0,1.0,2.0,250.0,0.0,Breakfast,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Pork Floss (1 tbsp),Protein/Meat,50.0,4.0,3.0,2.0,0.0,2.5,150.0,10.0,Breakfast,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Century Egg (1 egg),Protein,100.0,7.0,1.0,7.0,0.0,0.5,300.0,200.0,Breakfast,0.0,"['highProtein', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Arugula (2 cups),Vegetable,10.0,1.0,0.8,0.2,0.4,0.4,6.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Goat Cheese (1 oz),Dairy,103.0,6.1,0.1,8.5,0.0,0.1,146.0,22.0,Lunch,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Beets (1/2 cup roasted),Vegetable,30.0,0.8,6.8,0.1,1.4,5.8,50.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Walnuts (1 tbsp chopped),Nut,46.0,1.1,1.0,4.6,0.5,0.2,0.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Balsamic Glaze (1 tbsp),Condiment,40.0,0.0,9.0,0.0,0.0,8.0,10.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Bobotie (1 serving),Meal/Meat,450.0,25.0,30.0,25.0,5.0,15.0,700.0,150.0,Dinner,0.0,"['highProtein', 'highCarb', 'sugary', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'highCarb', 'sugary', 'highFibre', 'gutFriendly', 'energyBoost']"
Yellow Rice (1 cup),Grain,230.0,4.0,50.0,1.0,2.0,1.0,300.0,0.0,Dinner,0.0,"['lowProtein', 'high_glycemic', 'highCarb', 'lowFibre', 'energyBoost']",,,,"['lowProtein', 'energyBoost', 'highCarb', 'lowFibre']"
Chutney (Mango 1 tbsp),Condiment,45.0,0.1,11.0,0.1,0.5,10.0,180.0,0.0,Dinner,0.0,"['sugary', 'lowProtein', 'wholeFood', 'lowFibre']",,,,"['sugary', 'lowProtein', 'lowFibre']"
Malva Pudding (1 slice),Dessert,380.0,5.0,60.0,14.0,2.0,40.0,350.0,60.0,Snack,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Custard (1/4 cup),Condiment,80.0,3.0,10.0,3.0,0.0,8.0,40.0,40.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Bubble Tea (16 oz milk tea),Beverage,320.0,2.0,70.0,4.0,1.0,60.0,100.0,10.0,Snack,473.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'caffeine', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'caffeine', 'energyBoost']"
Tapioca Pearls (1/4 cup boba),Condiment,100.0,0.0,25.0,0.0,0.0,20.0,5.0,0.0,Snack,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Paella (1.5 cups seafood),Meal/Rice,550.0,30.0,70.0,18.0,6.0,5.0,1200.0,110.0,Dinner,0.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost']"
Chorizo (1 oz in paella),Protein/Meat,130.0,6.0,1.0,11.0,0.0,0.5,350.0,30.0,Dinner,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Saffron (pinch),Condiment,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Aioli (Garlic 1 tbsp),Condiment,95.0,0.1,0.5,10.5,0.0,0.1,70.0,5.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Gazpacho (1 cup),Meal/Soup,90.0,2.0,12.0,4.0,3.0,7.0,600.0,0.0,Lunch,240.0,"['lowProtein', 'wholeFood']",,,,['lowProtein']
Croutons (Garlic 1/4 cup),Grain,50.0,1.5,7.0,2.0,0.5,0.5,140.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Olive Oil (1 tsp garnish),Condiment,40.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,Lunch,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Churros (2 sticks),Dessert,240.0,3.0,30.0,12.0,1.5,10.0,200.0,20.0,Snack,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Chocolate Sauce (1 tbsp dipping),Condiment,50.0,0.5,10.0,1.5,1.0,8.0,5.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Cinnamon Sugar (1 tsp),Condiment,20.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Horchata (1 cup),Beverage,140.0,2.0,25.0,3.0,1.0,22.0,30.0,5.0,Snack,240.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Ceviche (1 cup fish),Meal/Fish,180.0,25.0,15.0,2.0,3.0,4.0,700.0,45.0,Lunch,0.0,['highProtein'],,,,['highProtein']
Red Onion (1/4 cup in ceviche),Vegetable,16.0,0.3,3.7,0.0,0.4,1.8,1.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Cilantro (2 tbsp garnish),Condiment,1.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,Lunch,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Corn Nuts (1 oz),Snack/Processed,130.0,2.0,23.0,4.0,2.0,0.0,180.0,0.0,Snack,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'energyBoost', 'lowFibre', 'noAddedSugar']"
Lomo Saltado (1.5 cups),Meal/Meat,500.0,35.0,45.0,22.0,5.0,6.0,1100.0,90.0,Dinner,0.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost']"
French Fries (as side),Vegetable/Processed,200.0,2.0,25.0,10.0,2.0,0.2,130.0,0.0,Dinner,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'energyBoost', 'highCarb', 'lowFibre']"
Soy Sauce (1 tbsp in stir-fry),Condiment,9.0,1.0,1.0,0.0,0.1,0.4,920.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Aji Amarillo Paste (1 tsp),Condiment,5.0,0.1,1.0,0.0,0.5,0.5,50.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Pisco Sour (1 drink),Beverage,250.0,1.0,25.0,0.0,0.0,24.0,5.0,5.0,Snack,180.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Egg White (in drink),Condiment,17.0,3.6,0.2,0.0,0.0,0.2,55.0,0.0,Snack,0.0,"['lowCarb', 'highProtein', 'lowFibre', 'lowProtein']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Angostura Bitters (dash),Condiment,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Snack,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Alfajores (1 cookie),Dessert,180.0,2.0,22.0,10.0,1.0,15.0,60.0,20.0,Snack,0.0,"['lowProtein', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['sugary', 'lowProtein', 'energyBoost', 'lowFibre']"
Dulce de Leche (1 tbsp filling),Condiment,65.0,1.0,12.0,1.5,0.0,10.0,30.0,5.0,Snack,0.0,"['sugary', 'lowProtein', 'wholeFood', 'lowFibre']",,,,"['sugary', 'lowProtein', 'lowFibre']"
Coconut (shredded garnish),Fruit,10.0,0.1,0.5,1.0,0.2,0.1,0.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Mate (1 cup),Beverage,5.0,0.2,1.0,0.0,0.0,0.0,2.0,0.0,Breakfast,240.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Media Luna (1 pastry),Grain,190.0,4.0,25.0,8.0,1.0,9.0,150.0,25.0,Breakfast,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'energyBoost', 'highCarb', 'lowFibre']"
Chimichurri (1 tbsp),Condiment,45.0,0.1,0.5,4.5,0.2,0.1,100.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Skirt Steak (4oz grilled),Protein/Meat,240.0,26.0,0.0,15.0,0.0,0.0,70.0,80.0,Dinner,0.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'caffeine', 'wholeFood']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'caffeine', 'wholeFood']"
Provoleta (1 oz grilled cheese),Dairy,100.0,7.0,1.0,8.0,0.0,0.5,250.0,20.0,Dinner,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['wholeFood', 'lowFibre', 'lowCarb']"
Oregano (1 tsp),Condiment,3.0,0.1,0.7,0.0,0.2,0.0,0.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Empanada (Beef 1 medium),Meal/Processed,290.0,10.0,28.0,16.0,3.0,3.0,550.0,30.0,Lunch,0.0,"['energyBoost', 'wholeFood', 'highCarb']",,,,"['energyBoost', 'highCarb']"
Chicken Milanesa (1 serving),Meal/Meat,450.0,35.0,30.0,22.0,3.0,2.0,700.0,100.0,Dinner,0.0,"['highProtein', 'energyBoost', 'highCarb']",,,,"['highProtein', 'energyBoost', 'highCarb']"
Mashed Potatoes (side),Vegetable,150.0,3.0,25.0,4.0,2.0,2.0,300.0,10.0,Dinner,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'energyBoost', 'highCarb', 'lowFibre']"
Flan (1 slice),Dessert,220.0,6.0,35.0,7.0,0.0,33.0,80.0,90.0,Snack,0.0,"['highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['sugary', 'energyBoost', 'highCarb', 'lowFibre']"
Choripan (1 sandwich),Meal/Processed,550.0,20.0,40.0,35.0,3.0,4.0,1100.0,80.0,Lunch,250.0,"['highProtein', 'energyBoost', 'wholeFood', 'highCarb']",,,,"['highProtein', 'energyBoost', 'highCarb']"
Baguette (slice),Grain,70.0,2.5,14.0,0.5,0.6,0.5,150.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre']",,,,"['lowProtein', 'lowFibre']"
Chimichurri (1 tbsp),Condiment,45.0,0.1,0.5,4.5,0.2,0.1,100.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Pizza (Margherita 1 slice),Meal/Processed,250.0,12.0,30.0,10.0,3.0,4.0,600.0,25.0,Dinner,250.0,"['energyBoost', 'wholeFood', 'highCarb']",,,,"['energyBoost', 'highCarb']"
Fresh Mozzarella (1 oz),Dairy,72.0,5.0,0.8,5.0,0.0,0.3,138.0,22.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Basil (2 tbsp fresh),Condiment,1.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Carbonara (1.5 cups),Meal/Pasta,650.0,25.0,60.0,35.0,4.0,4.0,900.0,250.0,Dinner,0.0,"['highProtein', 'highCarb', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'energyBoost', 'gutFriendly', 'highCarb']"
Guanciale (1 oz),Protein/Meat,170.0,3.0,0.0,18.0,0.0,0.0,450.0,35.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Pecorino Cheese (1 tbsp),Dairy,25.0,1.5,0.1,2.0,0.0,0.0,110.0,6.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Black Pepper (1/4 tsp),Condiment,1.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Egg Yolk (1 large in sauce),Protein,55.0,2.7,0.6,4.5,0.0,0.3,8.0,184.0,Dinner,0.0,"['lowCarb', 'highProtein', 'lowFibre', 'lowProtein']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Supplì (1 piece fried rice ball),Snack/Processed,200.0,8.0,25.0,8.0,2.0,2.0,400.0,25.0,Snack,0.0,"['energyBoost', 'highCarb', 'lowFibre', 'high_glycemic']",,,,"['energyBoost', 'highCarb', 'lowFibre']"
Aperol Spritz (1 drink),Beverage,180.0,0.0,20.0,0.0,0.0,20.0,10.0,0.0,Snack,150.0,"['lowProtein', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['sugary', 'lowProtein', 'energyBoost', 'lowFibre']"
Prosecco (3 oz),Beverage,70.0,0.0,2.0,0.0,0.0,1.5,5.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Club Soda (2 oz),Beverage,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,Snack,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Orange Slice (garnish),Fruit,5.0,0.1,1.0,0.0,0.2,0.8,0.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Tagliatelle al Ragù (Bolognese),Meal/Pasta,550.0,28.0,65.0,20.0,7.0,8.0,850.0,70.0,Dinner,500.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost']"
Ground Beef (2 oz in sauce),Protein/Meat,140.0,11.0,0.0,10.0,0.0,0.0,40.0,35.0,Dinner,0.0,"['noAddedSugar', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['noAddedSugar', 'lowFibre', 'lowCarb']"
Pancetta (0.5 oz in sauce),Protein/Meat,45.0,1.5,0.0,4.5,0.0,0.0,160.0,10.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Carrot (1/4 minced in sauce),Vegetable,10.0,0.2,2.4,0.1,0.7,1.2,17.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Celery (1/4 stalk minced),Vegetable,2.0,0.1,0.4,0.0,0.2,0.2,12.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Onion (1/8 minced in sauce),Vegetable,5.0,0.1,1.2,0.0,0.2,0.6,1.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Crushed Tomatoes (1/2 cup sauce),Vegetable,20.0,1.0,4.0,0.0,1.5,3.0,200.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Parmigiano-Reggiano (1 tbsp),Dairy,22.0,2.0,0.2,1.5,0.0,0.0,95.0,4.0,Dinner,0.0,"['highProtein', 'noAddedSugar', 'lowProtein', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Cannoli (1 medium),Dessert,240.0,5.0,25.0,13.0,1.0,18.0,100.0,30.0,Snack,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Ricotta (filling 1 oz),Dairy,49.0,3.2,0.8,3.8,0.0,0.1,23.0,14.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Pistachio (garnish),Nut,10.0,0.4,0.5,0.8,0.2,0.1,0.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Biscotti (1 cookie),Dessert,110.0,2.0,18.0,4.0,1.0,9.0,50.0,15.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre']",,,,"['lowProtein', 'lowFibre']"
Espresso (for dipping),Beverage,2.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,Snack,30.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Focaccia (1 square),Grain,250.0,8.0,40.0,7.0,2.0,2.0,500.0,0.0,Lunch,0.0,"['energyBoost', 'wholeFood', 'highCarb', 'lowFibre']",,,,"['energyBoost', 'highCarb', 'lowFibre']"
Rosemary (1 tsp topping),Condiment,1.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,Lunch,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Coarse Salt (garnish),Condiment,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,Lunch,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Olive Oil (1 tbsp drizzle),Condiment,120.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,Lunch,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Bruschetta (2 pcs),Snack/Appetizer,180.0,4.0,25.0,7.0,3.0,4.0,350.0,0.0,Snack,0.0,"['lowProtein', 'energyBoost', 'wholeFood', 'highCarb']",,,,"['lowProtein', 'energyBoost', 'highCarb']"
Balsamic Glaze (1 tsp),Condiment,13.0,0.0,3.0,0.0,0.0,2.7,3.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Ribollita (1.5 cups soup),Meal/Soup,350.0,15.0,55.0,8.0,14.0,10.0,900.0,5.0,Dinner,500.0,"['highProtein', 'highCarb', 'sugary', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'highCarb', 'sugary', 'highFibre', 'gutFriendly', 'energyBoost']"
Cannellini Beans (1/2 cup in soup),Legume,105.0,7.0,20.0,0.5,6.0,1.0,230.0,0.0,Dinner,0.0,"['gasForming', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['gasForming', 'gutFriendly', 'energyBoost', 'highFibre']"
Kale (1 cup in soup),Vegetable,33.0,2.9,6.0,0.6,2.0,1.0,29.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Stale Bread (1/2 cup in soup),Grain,80.0,3.0,15.0,1.0,1.0,1.5,160.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'processed', 'lowFibre']",,,,"['lowProtein', 'processed', 'lowFibre']"
Polenta (1 cup creamy),Meal/Grain,150.0,3.0,32.0,1.0,3.0,1.0,350.0,5.0,Dinner,0.0,"['lowProtein', 'energyBoost', 'wholeFood', 'highCarb']",,,,"['lowProtein', 'energyBoost', 'highCarb']"
Gorgonzola Cheese (1 oz),Dairy,100.0,6.0,0.7,8.0,0.0,0.1,325.0,21.0,Dinner,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Negroni (1 drink),Beverage,190.0,0.0,15.0,0.0,0.0,15.0,5.0,0.0,Snack,90.0,"['sugary', 'lowProtein', 'wholeFood', 'lowFibre']",,,,"['sugary', 'lowProtein', 'lowFibre']"
Gin (1 oz),Beverage,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Snack,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Campari (1 oz),Beverage,80.0,0.0,10.0,0.0,0.0,10.0,5.0,0.0,Snack,0.0,"['lowProtein', 'lowFibre', 'sugary', 'lowCarb', 'wholeFood']",,,,"['sugary', 'lowProtein', 'lowFibre', 'lowCarb']"
